product_id,name,price_text,price,sold_text,sold_est,rating_text,reviews_text,product_url
1219,Nuriv Astaxanthin Multiplex 30 แคปซูล งานผิว ชะลอวัย นูรีฟ แอสต้าแซนทิน มัลติเพล็กซ์,฿330.00,330,(2)ร้อยเอ็ด,2,,,https://www.lazada.co.th/products/pdp-i5596787786.html
1244,Red Diamond Astaxanthin 3 กระปุก แอสต้าแซนริน พลัส บำรุงสายตา บำรุงผิวพรรณ ลดเลือนริ้วรอย ช่วยให้ผิวมีความเรียบเนียนชุ่มชื้น,฿999.00,999,(2)ขอนแก่น,2,,,https://www.lazada.co.th/products/pdp-i5519345282.html
1280,ไบโอแอสติน Bioastin Astaxanthin สาหร่ายแดง 4mg 60 เม็ด,฿599.00,599,(2)สมุทรปราการ,2,,,https://www.lazada.co.th/products/pdp-i4550476017.html
1403,[SET] Astaxanthin + Collagen กระจ่าง X2,"฿1,672.00",1672,(2)สมุทรปราการ,2,,,https://www.lazada.co.th/products/pdp-i5812702027.html
55,แคปซูลแอสตาแซนธิน 30/60/120 - ส่วนประกอบสำคัญช่วยเสริมสร้างสุขภาพหัวใจ - มีไลโคปีน - กระตุ้นการไหลเวียนโลหิต,฿80.50,80.5,(3)สมุทรปราการ,3,,,https://www.lazada.co.th/products/pdp-i5829841580.html
746,Barrima Astaxanthin Blood Orange Plus บาร์ริม่า แอสตาแซนธิน บลัดออเร้นจ์ พลัส (อาหารเสริมผิวสวย ดูแลริ้วรอย ชะลอวัย) (20 ซอง),"฿1,229.00",1229,(3)กรุงเทพมหานคร,3,,,https://www.lazada.co.th/products/pdp-i5067097864.html
899,✅ส่งฟรี✅Now Care Astaxanthin from Haematococus 500mg 30แคปซูล อาหารเสริมสำหรับชะลอวัย | ริ้วรอย เผชิญมลภาวะ,฿240.00,240,(3)สระบุรี,3,,,https://www.lazada.co.th/products/pdp-i5156178278.html
908,PipingRock Astaxanthin 12 mg 60 Quick Release Softgels ผลิตภัณฑ์คุณภาพจาก Piping Rock,"฿1,740.00",1740,(3)นนทบุรี,3,,,https://www.lazada.co.th/products/pdp-i5695591417.html
1063,✅ส่งฟรี✅(ซื้อคู่)Now Care Astaxanthin from Haematococus 500mg 30แคปซูล อาหารเสริมสำหรับชะลอวัย | ริ้วรอย เผชิญมลภาวะ,฿390.00,390,(3)สระบุรี,3,,,https://www.lazada.co.th/products/pdp-i5156235788.html
1137,Vistra Astaxanthin Plus Vitamin E 4mg (30 แคปซูล) ผลิตภัณฑ์เสริมอาหารจากสาหร่ายสีแดง,฿389.00,389,(3)สมุทรปราการ,3,,,https://www.lazada.co.th/products/pdp-i4814921397.html
